age,daily_screen_time,social_media_hours,study_hours,sleep_hours,notifications_per_day,focus_score,addiction_level,productivity_score
36,7.98,4.5,0.73,4.4,109,91.65,50,0
35,8.65,6.73,4.66,6.94,25,100,100,17.62
28,6.19,4.12,4.89,4.93,263,100,50,44.46
37,9.01,3.3,5.83,6.49,152,100,50,67.21
30,6.11,4.13,6.09,5.85,135,100,50,71.37
32,7.05,2.9,6.17,8.02,92,100,50,59.67
21,2.07,1.25,5.31,5.6,175,100,0,82.93
24,8.92,5.51,1.73,6.29,230,94.86,100,0
21,8.61,7.11,3.23,7.61,88,94.87,100,0
15,2.38,1.37,6.21,6.17,163,100,0,79.6
37,5.68,2.66,7.63,7.97,218,100,50,69.73
35,11.79,5.17,0.63,7.31,225,87.75,100,5.57
33,6.21,5.12,4.28,6.05,220,93.29,100,27.21
30,7.02,2.83,2.5,6.52,258,100,50,20.18
33,11.1,6.17,,8.84,87,86.81,100,20.25
18,9.17,3.78,4.05,7.31,190,100,50,39.75
32,7.82,5.97,4.85,8.52,89,,100,41.02
16,9.98,5.83,0.08,4.89,36,79.17,100,0
15,10.64,5.43,6.24,6.42,156,100,100,40.07
,6.57,3.39,6.56,8.54,238,100,50,63.49
19,6.75,5.48,7.72,5.61,25,100,100,
34,5.86,3.71,1.45,8.84,217,100,50,8.99
25,11.67,8.53,4.76,4.49,151,,100,0
24,8.97,7.52,3.41,8.51,203,92.22,100,0.39
16,2.83,2.38,2.68,6.23,37,100,50,34.68
17,10.63,5.28,4.53,4.37,232,97.65,100,8.98
37,6.81,5.93,6.26,8.4,67,100,100,51.74
37,2.69,0.85,0.18,5.26,48,100,0,30.14
26,7.5,3.95,7.76,4.11,172,100,50,53.97
34,6.17,5.17,6.48,4.68,257,100,100,42.97
19,10.78,5.01,6.01,7.3,284,100,100,29.91
19,4.04,1.87,6.08,8.89,218,100,0,80.45
20,10.26,4.94,3.11,4.56,33,100,50,5.14
23,7.58,5.06,6.01,6.31,,100,100,42.9
16,2.55,1.44,3.09,4.9,29,100,0,37.48
35,11.72,8.63,7.19,7.73,158,97.3,100,45.41
26,7.13,5.97,1.42,4.59,186,84.16,100,0
17,4.91,3.46,2.34,5.2,166,94.28,50,27.99
34,6.69,2.83,4.41,4.98,264,97.6,50,17.52
36,10.58,9.09,2.55,6.76,89,77.82,100,0
26,5.05,2.32,3.39,8.37,123,100,50,54.84
38,3.93,1.53,3.94,6.56,248,100,0,43.17
31,3.29,1.16,6.85,4.29,157,100,0,75.97
24,,3.18,4.19,6.82,55,100,50,53.73
38,9.8,3.61,2.9,7.99,137,100,50,46.83
28,6.72,2.58,1.98,4.66,274,98,50,11.39
37,4.27,2.05,3.27,4.36,39,100,50,32.54
31,3.66,1.72,4.13,4.94,40,100,0,45.03
32,5.33,3.53,5.97,7.73,275,100,50,62.36
33,11.4,9.01,0.97,6.96,267,63.28,100,0
31,5.43,4.11,1.77,6.7,185,95.59,50,20.27
28,11.88,5.43,3.04,5.25,274,91.32,100,0
23,6.85,3.06,2.88,5.66,97,100,50,29.06
22,3.79,3.33,3.13,8.83,299,100,50,26.04
16,10.91,3.33,6.35,5.2,53,100,50,60.79
27,6.6,5.46,2.59,8.51,118,100,100,29.31
39,9.1,,4.02,6.9,162,100,50,41.13
21,11.84,10.28,4.99,4.62,74,80.83,100,0
23,,1.26,1.86,6.34,22,100,0,46.73
36,2.97,1.68,5.75,8.74,238,100,0,53.26
36,9.2,6.66,4.38,6.09,230,85.75,100,13.4
25,4.82,3.15,3.57,8.32,168,100,50,38.74
28,3.84,1.88,6.48,5.28,251,100,0,73.57
18,2.39,1.51,1.95,6.85,107,100,0,13.15
27,,1.64,7.07,8.22,230,100,0,87.13
16,9.74,3.17,4.49,8.6,242,100,50,48.85
37,3.34,1.02,4.87,6.43,,100,0,76.72
19,6.68,3.84,7,7.2,226,100,50,60.58
25,8.06,3.06,6.54,4.01,246,100,50,51.37
20,6.28,4.39,4.81,5.27,,100,50,33.95
32,2.27,0.97,6.03,5.39,60,100,0,77.45
35,9.84,5.51,3.47,4.47,201,88.64,100,6.5
24,2.11,0.88,4.38,5.4,63,100,0,62.49
18,9.62,6.05,0.5,5.61,229,69.9,100,0
23,10.93,4.04,0.72,8.84,269,97.78,50,34.78
20,6.33,1.99,6.64,7.34,103,100,0,66.16
16,7.36,2.43,0.48,6.13,158,91.62,50,3.36
31,6.77,5.91,1.36,8.94,250,85.8,100,3.05
19,5.89,2.27,6.37,4.77,31,100,50,79.59
39,10.87,7.88,0.01,6.38,292,64.19,100,0
20,10.94,3.73,2.26,7.24,109,99.4,50,36.07
26,5.36,1.96,4.67,4.28,44,100,0,50.75
37,8.15,4.93,4.76,7.58,45,100,50,57.12
35,11.27,6.52,6.22,4.5,172,100,100,21.39
24,11.62,10.12,4.05,4.7,79,80.43,100,0
36,7.09,6.15,4.08,4.8,79,96.6,100,15.12
35,6.53,5.01,5.8,8.64,190,100,100,57.49
39,4.79,,3.99,7.42,95,100,50,35.58
20,11.59,6.64,4.87,7.28,295,90.69,100,5.43
22,3.43,1.76,7.18,6.78,227,100,0,81.9
16,7.8,6.77,3.21,5.46,174,84.74,100,0
26,4.83,3.2,3.08,7.1,199,100,50,23.52
27,4.79,3.1,0.03,6.05,101,100,50,11.98
39,6.05,2.66,4.91,4.73,29,100,50,42.37
35,11.99,3.93,0.24,7.45,,89.72,50,6.11
21,2.55,2.21,4.03,,197,100,50,37.02
24,7.79,3.8,6.43,4.95,276,100,50,58.19
27,2.83,1.6,4.4,8.09,23,100,0,58.98
31,3.55,1.31,2.16,7.3,234,100,0,24.55
35,6.4,5.13,6.29,7.15,49,100,100,61.53
28,7.1,2.25,2.16,6.09,84,100,50,40.06
16,4.59,3.67,5.86,5.98,143,100,50,58
36,5.16,1.98,4.88,7.45,172,100,0,
25,2.87,2.39,1.36,7.7,59,100,50,37.97
15,5.03,3.71,7.24,6.55,45,100,50,79.8
33,,4.65,1.61,8.85,292,100,50,2.97
35,11.45,7.32,7.92,8.78,178,100,100,63.69
18,5.35,2.61,0.06,6.06,208,95.56,50,5.21
33,7.71,3.14,2.11,8.1,283,100,50,29.04
35,11.1,9.05,1.6,6.72,88,84,100,0
,2.06,1.12,0.11,6.56,20,100,0,32.57
22,10.11,5.45,5.86,4.27,98,100,100,27.98
25,11.48,4.61,5.55,6.87,247,97.81,50,39.08
,2.91,1.54,6.34,8.5,65,100,0,
31,3.61,2.97,2.05,7.9,127,100,50,30.25
21,11.61,6.01,3.55,7.93,143,100,100,8.42
22,7.38,6.43,5.27,4.8,167,90.47,100,35.54
17,2.14,1.86,3.52,5.79,271,100,0,43.42
36,4.58,1.77,5.58,5.17,21,100,0,66.66
16,6.5,2.64,5.07,5.58,241,100,50,49.94
37,8.93,7.3,0.92,6.9,208,78.37,100,0
29,9.33,,6.25,5.82,90,100,100,49.87
38,11.95,3.62,5.77,6.8,116,100,50,70.67
36,4.88,2.27,5.25,6.19,251,100,50,73.57
36,7.38,4.86,1.24,5.43,49,96.01,50,0
19,7.33,5.71,2.14,4.48,49,90.3,100,3.41
38,6.06,2.3,3.15,8.46,234,100,,54.65
15,3.69,1.35,2.24,4.06,192,95.83,0,33.03
18,11.77,10.04,1.82,4.01,299,50.25,100,0
29,10.53,7.9,6.44,8.13,230,100,,43.47
34,6.98,4.56,5.11,8.98,144,100,50,59.37
33,8.03,6.11,4.52,7.64,99,100,100,25.2
17,4.27,2.38,1.81,4.08,203,100,50,16.4
34,7.44,5.62,7.34,5.13,34,100,100,42.61
25,8.95,4.68,1.53,8.86,,100,50,25.87
31,7.15,3.19,6.36,8.04,108,100,50,78.23
27,11.9,8.78,7.73,6.83,22,99.41,100,26.23
25,8.11,4.48,5.82,5.18,43,,50,42.28
16,5.71,5.08,7.94,4.07,108,100,100,48.46
23,9.72,4.95,5.21,4.1,28,97.89,50,39.19
16,3.7,3.16,1.74,7.06,65,100,50,22.53
35,5.85,5.03,1.63,4.11,113,86.77,100,0
23,5.47,2.43,2.6,8.97,90,100,50,53.17
23,6.32,4.92,0.06,4.92,207,82.32,50,0
22,9.82,5.5,5.45,7.55,158,100,100,
,6.84,5.82,2.15,4.78,29,99.57,100,0
15,9.94,5.67,6.52,6.7,,100,100,58.56
39,7.76,5.79,2.87,4.4,38,94.71,100,2.11
25,5.42,3.14,3.84,7.83,149,100,50,46.23
22,10.1,4.41,7.73,6.92,240,100,50,56.84
24,4.38,1.84,1.94,4.43,149,100,0,10.14
39,4.24,2.35,5.77,8.24,132,100,50,100
21,7.05,5.31,6.04,6.74,157,100,100,35.38
17,4.61,3.06,1.77,8.61,62,100,50,13.34
17,2.09,1.49,4.01,8.58,237,100,0,60.12
32,8.48,3.98,2.8,8.6,77,100,50,34.95
19,7.11,4.19,6.18,4.39,132,100,50,37.1
26,6.46,2.11,4.98,4.6,207,100,50,41.49
26,11.67,9.23,3.81,8.94,141,95.18,100,3.54
33,7.71,6.89,6.23,6.44,104,100,100,39.9
20,10.63,5.78,1.88,5.19,125,86.35,100,0
16,3.39,1.04,6.03,7.85,118,100,0,83.73
26,7.69,3.09,6.92,5.32,28,100,50,70.22
33,10.68,7.39,7.03,7.64,25,100,100,46.24
19,7.83,5.22,6.27,8.19,127,100,100,51.21
26,9.18,7.09,3.26,7.92,171,99.25,100,0.1
31,5.72,2.59,7.85,5.37,256,100,50,94.25
31,2.92,2.21,3.04,6.01,46,100,50,18.02
24,6.58,4.69,,6.07,138,100,50,50.04
39,5.94,2.93,1.29,6.46,230,87.29,50,3.43
37,10.67,6.69,7.84,4.84,119,100,100,47.91
31,4.44,1.72,5.63,6.26,22,100,0,73.96
29,11.67,6.67,6.03,6.55,36,100,100,28.22
26,11.58,9.6,0.53,6.66,125,69.65,100,0
30,4.48,2.48,6.11,8.1,249,100,50,70.32
38,5.48,4.4,6.2,6.59,196,100,50,54.15
33,10.96,7.17,5.37,5.15,103,98.12,100,31.82
22,11.67,4.84,2.34,7.32,282,93.02,50,27.05
35,6.43,4.17,3.92,7.99,215,100,50,31.67
31,5.21,3.14,0.88,5.6,268,81.39,50,7.1
37,7.26,3.91,3.77,7.23,168,100,50,47.72
19,8.88,3.3,1.95,4.73,225,96.21,50,5.67
36,4.73,2.6,2.79,5.71,100,100,50,38.65
30,9.36,3.22,1.3,8.55,208,100,50,47.55
20,2.52,0.91,1.84,8.56,225,100,0,35.77
22,2.49,1.37,0.61,6.88,288,91.82,0,25.69
39,5.86,2.83,7.36,7.51,274,100,50,70.21
32,5.53,4.73,4.24,8.27,27,,50,38.85
39,5.16,2.71,3.17,8.79,133,100,50,45.22
26,6.91,5.22,4.28,6.45,24,100,100,37
29,5.21,3.22,5.03,6.81,,100,50,76.09
23,3.92,2.83,7.38,6.08,140,100,50,71.39
27,5.09,2.32,1.43,4.36,253,100,50,20.04
29,11.75,10.17,2.36,6.11,85,68.61,100,0
24,6.11,3.78,7.81,7.95,249,100,50,75.75
30,6.45,5.15,2.97,8.02,50,100,100,
21,7.77,,0.18,8.46,70,98.39,50,19.33
31,11.83,4.26,1.18,,166,85.69,50,0
37,4.42,3.11,0.21,6.64,114,96.47,50,0.94
35,8.81,2.68,,4.54,57,100,50,83.44
36,9.16,5.36,2.23,5,217,92.9,100,0
21,8.07,3.35,7.39,8.5,260,100,50,
28,2.89,1.95,7.97,6.48,192,100,0,86.73
29,8.77,7.78,4.8,7.79,275,89.09,100,14.68
35,2.64,1.53,0.27,4.32,60,96.05,0,4.43
,7.96,6.29,0.65,6.08,148,87.12,100,0
23,9.4,5.68,3.85,7.37,73,100,100,43.24
33,4.11,2.46,3.25,4.67,105,100,50,41.23
30,10.42,8.94,4.85,5.63,231,86.06,100,0
22,2.3,1.92,3.51,4.32,288,96.28,0,25.31
32,10.44,8.05,7.47,7.26,40,100,100,
37,6.6,3.15,4.28,8.85,234,100,50,59.51
32,4.18,2.62,5.55,,208,100,50,
34,3.34,1.45,7.17,8.87,180,100,0,100
21,11.53,6.53,1.17,8.23,220,90.41,100,0
17,2.73,1.61,1.84,8.28,48,100,0,46.82
32,3.99,3.19,0.86,6.89,263,96.34,50,18.26
24,5.48,4.59,1.12,6.59,202,90.93,50,6.38
21,,4.5,4.1,6.03,51,100,50,42.16
31,7.45,2.31,2.57,8.09,286,100,50,57.42
28,3.26,2.66,3.39,4.91,55,100,50,41.36
38,4.9,1.98,7.86,4.28,112,100,0,100
17,4.39,2.96,1.25,8.74,178,99.81,50,39.12
26,,1.3,4.33,4.02,199,100,0,44.57
27,6.11,3.3,0.79,8.88,,94.78,50,3.65
16,9.04,8.06,2.55,7.64,246,79.36,100,3.88
17,4.17,1.5,4.22,5.64,231,,0,38.55
19,5.67,3.14,7.57,7.49,182,100,50,84.12
25,5.91,2.86,3.13,8.09,177,100,50,50.78
22,11.76,,0.52,5.23,129,66.82,100,0
37,11.55,9.49,3.11,7.85,74,73.91,100,0
37,10,4.43,1.17,8.02,233,100,50,0
26,4.42,1.54,1.84,5.25,34,100,0,51.96
21,2.68,1.81,4.94,4.21,172,100,,58.15
29,5.17,2.59,0.54,5.02,39,100,50,1.37
38,4.67,3.28,3.72,5,71,100,50,18.43
31,7.06,2.25,4.88,4.33,103,100,50,40.64
18,9.78,3.72,3.37,7.63,243,98.16,50,28.52
36,10.58,7.53,0.15,5.9,148,72.66,100,0
39,10.45,4.47,7.88,8.42,35,100,50,92.01
27,5.6,4.56,2.94,5.26,293,,50,0
32,,2.97,6.23,6.27,96,100,50,77.88
15,5.13,2.2,2.61,7.2,111,100,50,23.1
,2.61,2.35,3.8,8.39,289,100,50,51.73
27,9.02,5.05,3.11,6.62,71,96.76,100,14.71
24,2.1,1.52,2.74,5.87,140,100,0,50.34
26,6.09,2.49,0.17,8.34,69,100,50,35.81
16,5.29,3.52,2.88,,292,100,50,27.72
37,8.93,6.57,7.12,4.4,139,100,100,40.9
17,9.66,4.72,5.52,6.23,114,100,50,42.48
24,5.04,4.02,1.16,7.93,168,100,50,27.46
16,10.12,6.7,4.73,4.15,276,82.85,100,0
37,4.94,2.64,7.14,6.93,203,100,50,83.31
27,6.46,4.1,5.6,6.97,279,,50,60.53
27,9.27,5.99,1.19,8.64,169,94.3,100,11.27
32,8.93,3.57,6.94,5.43,224,100,50,66.56
17,11.87,,2.41,5.39,191,83.73,100,0
21,4.25,2.15,3.63,6.2,241,100,50,51.79
28,8.62,4.66,4.21,5.78,187,99.12,50,26.78
34,,6.13,6.8,7.68,263,100,100,63.74
31,11.15,6.57,7.45,7.21,237,100,100,71.45
35,3.56,3.08,7.44,7.79,75,100,50,67.97
26,9.52,4.53,0.06,8.1,82,100,50,0
39,7.68,4.22,7.38,8.61,122,100,50,68.27
30,4.75,3.67,0.44,6.15,186,96.26,50,0
38,6.74,4.23,2.13,8.92,26,100,50,32.52
26,5.34,3.35,4.12,5.08,161,100,50,39.68
29,7.79,2.59,3.84,7.57,144,100,50,49.56
39,10.89,5.87,4.84,6.67,109,100,100,37.88
24,7.69,3.56,3.84,8.08,235,100,50,35.9
39,8.32,7.48,7.48,6.38,142,100,100,38.55
21,7.19,3.49,1.92,7.92,205,99.81,,31.19
34,2.51,2.09,2.19,8.65,172,100,50,39.96
19,,3.06,7.37,7.66,268,,50,66.59
15,6.92,3.49,0.61,7.88,133,99.6,50,35.91
31,5.1,3.19,4.88,4.34,,98.74,50,50.91
17,3.82,3.07,5.45,5.02,217,100,50,50.16
27,7.04,5.84,4.04,8.87,22,100,100,46.29
28,5.23,2.07,5.55,7.47,168,100,50,75.42
38,4.58,2.31,1.38,6.81,130,100,50,9.59
32,6.64,3.33,6.82,5.83,39,100,50,71.07
18,3.33,1.08,1.12,4.22,222,100,0,9.77
32,11.28,7.43,3.21,5.85,201,90.02,100,0
19,10.68,,0.6,6.49,246,65.99,100,0
39,9.08,4.8,4.36,5.06,95,,50,37.17
30,3.06,2.28,5.36,4.87,242,100,50,42.59
15,9.76,6.6,7.53,6.54,55,100,100,44.06
35,10.08,5.3,5.91,6.93,109,100,100,43.34
28,9.68,3.72,4.33,5.2,48,100,50,52.74
29,3.14,2.28,7.46,6.94,195,100,50,81.58
23,8.44,6.86,3.83,8.5,239,99.79,100,24.1
29,10.34,7.36,4.49,6.37,155,82.46,100,12.66
31,7.77,2.41,4.77,8.29,194,100,50,60.1
39,8.46,3.64,3.28,8.64,145,100,50,43.87
38,6.58,2.25,6.71,4.46,190,100,50,73.62
18,7.29,4.68,1.48,4.48,285,82.38,50,0
26,2.34,1.76,4.44,6.38,153,100,0,45.54
19,8.39,3.07,5.78,6.94,,100,50,62.56
19,2.81,2.26,7.23,6.13,45,100,50,99.83
25,6.35,4.02,7.07,5.63,,100,50,60.86
20,4.93,3.52,4.07,7.2,119,100,50,56.28
21,7.45,6.58,5.15,4.01,49,93.56,100,34.84
38,3.33,1.17,3.15,8.84,152,100,0,63.42
28,8.92,7.5,3.75,,158,86.74,,0
38,9.95,3.74,7.25,8.59,210,100,50,83.53
25,3.63,1.94,7.45,4.55,206,100,0,88.42
27,3.04,2.47,7.16,5.19,159,100,50,71.43
16,3.46,2.92,1.11,5.17,256,93.67,50,0
39,10.77,6.5,6.8,8.98,219,100,100,57.93
21,7.28,4.78,7.59,4.02,99,100,50,64.07
34,6.67,,2.89,7.2,278,95.43,50,21.84
18,3.07,2.45,4.15,8.35,120,100,50,64.44
22,8.5,3.17,6.23,7.36,51,100,50,71.82
34,10.68,,4.5,5.81,296,67.13,100,0
36,10.28,6.05,7.95,8.79,140,100,100,83.56
35,8.26,4.71,3.65,8.47,74,100,50,21.11
33,2.75,1.52,5.71,6.17,37,100,0,75.6
27,3.12,1.89,6.34,6.87,140,100,0,68.61
28,2.49,2.16,3.95,8.84,129,100,50,62.22
24,4.57,2.87,6.86,8.91,,100,50,
25,3.36,2.93,4.37,6.25,283,100,50,48.08
16,4.6,1.88,3.29,8.24,287,100,0,51.87
39,5.85,4.3,0.86,5.51,146,84.5,50,11.28
23,11.43,9,3.15,5.86,156,86.81,100,0
31,8.1,5.73,5.87,4.82,97,100,100,23.44
17,10.35,6.87,7.37,5.05,226,100,100,
38,9.1,5.81,2.01,7.28,203,99.99,100,7.3
20,3.13,2.56,2.84,6.55,108,100,50,27.83
19,9.36,7.42,1.23,5.16,248,71.82,100,0
19,4.75,1.77,5.53,6.01,83,100,0,63.12
36,8.39,6.79,,5.87,74,100,100,58.96
29,5.41,2.97,5.13,8.94,298,100,50,50.68
37,11.98,5.42,4.94,8.27,207,100,100,39.93
31,4.64,3.81,4.43,5.94,210,100,50,41.52
23,4.79,2.68,0.71,8.57,292,100,50,9.08
17,11.31,8.88,5.84,5.71,114,87.49,100,17.72
34,2.25,1.03,4.82,7.34,109,100,0,83.72
31,8.97,2.71,,8.83,266,100,50,65.35
24,9.25,5.52,7.19,5.95,94,100,100,58.6
17,10.36,3.73,6.27,7.4,81,100,50,59.48
32,11.74,8.84,6.25,5.48,241,80.27,100,40.56
32,11.76,5.48,7.42,5.33,286,100,100,48.49
31,2.65,1.5,7.92,6.87,140,100,0,100
38,10.22,3.6,4.65,8.9,47,100,50,58.11
17,8.46,3.99,0.87,6.27,293,94.1,50,0
17,,6.51,3.67,8.69,42,100,100,36.45
20,3.28,1.28,6.3,8.57,118,100,0,68
27,8.5,5.85,0.22,5.27,129,87.31,100,0
38,11.82,10.05,,6.01,222,57.54,100,0
29,11.12,7.87,0.54,7.22,125,84.16,100,0
,6.39,5.03,5.85,6.59,65,100,100,57.71
,2.4,0.88,4.01,4.48,276,100,0,42
,5.62,2.53,2.95,8.97,163,100,50,32.5
28,10.26,8.58,0.84,7.76,44,80.93,100,0
19,9.01,6.57,5.86,6.19,81,100,100,31.88
16,6.59,4.51,2.57,7.09,249,99.22,50,6.78
25,2.55,1.78,2.12,4.44,101,100,0,33.99
23,6.27,3.44,5.22,6.48,230,100,50,53.75
38,6.69,2.19,4.47,8.65,216,100,50,54.09
17,11.29,8.7,2.9,8.48,217,87.81,100,0
23,8.41,5.95,5.13,5.69,181,98.39,100,30.27
17,5.12,2.99,2.17,6.66,227,100,50,14.71
39,7.25,6.09,6.36,7.49,63,100,100,40.85
16,2.66,1.33,1.83,5.7,298,100,0,26.13
26,11.73,5.59,1.27,4.32,294,81.28,100,
24,5.6,4.61,6.26,6.53,240,100,50,56.2
23,6.78,5.28,5.66,7.01,165,,100,55.03
29,5.55,3.38,1.46,4.03,88,98.67,50,0.43
22,8.83,3.34,0.93,4.48,159,94.47,50,6.09
39,8.62,3.7,6.71,5.04,29,100,50,60.09
19,9.15,6.35,6.21,5.74,130,100,100,47.87
25,4.68,2.49,2.62,6.71,56,100,,29.67
16,,4.14,5.27,5.47,100,100,50,
38,3.25,2.83,0.99,5.38,115,100,50,2.44
29,8.56,6.71,4.06,8.35,74,100,100,17.38
20,2.4,1.26,0.15,4.73,151,100,0,5.98
22,7.98,6.17,3.13,6.48,242,90.81,100,0
19,10.7,5.47,0.6,8.76,82,95.68,100,13.45
30,10.91,4.37,,7.13,31,100,50,29.03
32,6.49,2.08,3.37,7.59,165,100,50,45.45
20,6.59,3.5,3.56,6.16,283,100,50,20.24
19,2.77,2.33,0.36,4.1,51,100,50,13.43
30,8.71,3.86,2.89,7.23,68,100,50,34.8
27,10.21,4.33,6.05,7.16,206,100,50,60.99
19,4.45,3.92,2.95,4.55,118,100,50,19.05
27,6.21,1.96,5.72,6.31,186,100,0,69.17
31,10.39,8.02,2.96,,232,89.63,100,4.7
32,10.77,5.31,3.39,5.03,218,94,100,19.52
22,4.43,1.43,4.51,6.31,265,100,0,45.79
27,7.51,6.39,7.61,6.31,173,100,100,45.63
33,3.92,1.5,0.87,8.05,115,100,0,22.99
17,3.02,1.91,0.26,8.12,82,100,0,31.46
38,11.11,5.16,4.86,7.8,213,100,100,44.34
22,10.21,3.46,7.59,5.83,291,100,50,75.82
16,9.6,3.17,7.92,4.36,109,100,50,
22,2.49,0.92,3.87,5.75,291,100,0,47.03
27,10.44,3.58,3.74,7.4,104,100,50,18.84
27,6.38,4.83,5.16,7.51,55,100,50,68.37
15,,3.21,4.45,8.83,37,100,,63.13
20,7.46,,5.07,6.27,96,100,50,40.84
38,2.91,1.6,6.99,7.16,68,100,0,89.64
33,9.57,8.21,5.97,6.7,255,87.45,100,19.69
30,7.82,6.62,3.98,4.75,63,96.15,100,28.47
22,3.87,2.82,,6.31,128,100,50,40.13
15,3.88,3.22,5.12,6.72,148,100,50,56.46
30,3.84,1.89,3.65,8.75,26,100,0,58.42
23,2.57,1.36,3.66,5.83,131,100,0,72.03
27,7.88,5.27,0.13,8.9,232,87.09,100,12.4
25,10.4,7.01,1.39,6.71,85,81.94,100,0
27,2.17,1.28,3.91,,50,100,0,61.95
39,2.49,1.35,6.58,4.96,284,100,0,75.76
35,7.73,6.89,2.23,4.71,33,82.18,100,0
24,10.19,8.08,4.18,6.26,77,100,100,0
18,5.27,2.96,2.76,4.11,261,94.87,50,0
20,5.5,4.05,0.84,6.23,267,86.57,50,5.57
21,7.96,3.68,7.67,8.94,117,100,50,74.86
19,4.74,1.71,6.84,7.35,181,100,0,89.14
25,2.27,1.16,0.63,7.8,266,100,0,17.16
27,9.35,5.07,5.76,4.6,23,100,100,27.4
39,8.26,2.56,2.78,6.37,280,100,50,31.27
33,7.81,6.16,7.96,5.43,64,100,100,68.06
37,9.42,4.86,2.42,8.47,230,100,50,13.09
24,8.75,5.67,1.91,4.91,263,80.63,100,0
24,4.06,1.4,4.54,6.29,222,100,0,60.02
25,5.52,2.24,6.68,6.94,222,100,50,76.13
35,3.26,2.72,1.54,6.57,46,100,50,28.21
21,3.3,2.2,5.68,8.15,137,100,50,76
32,8.76,7.62,0.49,5.16,245,77.21,100,0
18,10.59,9.52,,5.89,224,,100,33.12
16,11.63,6.08,0.65,7.96,266,89.16,100,0
28,8.28,3.97,7.31,6.64,68,100,50,70.37
27,3.84,3.13,3.93,6.01,272,100,50,26.16
26,3.06,2.75,3.58,4.15,97,100,50,27.99
21,10.13,6.87,7.79,7.77,276,100,100,62.25
16,7.79,6.05,7.92,8.86,139,100,100,
27,8.18,6.29,5.2,7.1,54,100,100,27.17
28,9.81,5.03,1.02,8.28,162,96.66,100,5.65
31,9.03,5.82,4.05,6.58,216,100,100,4.29
23,10.34,8.27,4.23,,279,78.08,100,0
31,2.56,1.82,4.12,4.07,103,100,0,41.14
22,9.48,2.96,4.56,7.27,211,100,50,27.43
16,10.51,5.28,0.15,6.47,41,95.8,100,0
38,,1.88,5.69,7.91,43,100,0,66.97
27,8.4,3.69,5.7,7.47,94,100,50,73.84
17,5.14,4.33,0.92,8.94,153,100,50,9.13
30,11.58,3.73,4.56,6.55,186,100,50,50.31
20,2.33,1.01,4.55,6.14,129,100,0,68.11
33,7.8,3.79,5.46,5.43,109,100,50,40.27
21,3.67,2.46,0.68,6.38,56,99.77,50,20.86
24,,5.66,5.01,8.36,70,100,100,61.52
23,3.76,1.62,2.25,4.21,79,100,0,28.72
16,4.35,1.73,4.06,8.89,91,100,0,64.93
29,,3.07,6.19,8.97,147,100,50,81.59
19,11.15,6.71,5.65,6.99,81,100,100,40.18
36,4.12,1.91,0.95,5.66,198,100,0,12.88
18,3.44,2.99,4.73,5.12,47,100,50,18.53
34,9.59,5.55,7.75,5.38,259,100,100,43.32
18,7.01,2.35,1.25,4.25,251,91.39,50,0
32,11.12,8.2,6.82,6.38,172,94.75,100,29.11
18,3.47,1.73,5.62,4.29,26,100,0,74.79
31,8.46,5.86,6.19,7.59,84,100,100,55.33
26,4.33,2.03,2.26,5.86,142,100,50,26.42
36,3.57,2.29,2.3,5,55,100,50,30.65
31,8.83,6.74,7.25,6.72,257,100,100,44.27
24,7.94,6.8,2.88,8.87,92,97.85,100,21.2
36,9.55,4.36,0.5,7.48,49,100,50,11.81
15,5.09,2.55,4.8,6.46,246,100,50,65.54
36,6.48,3.75,1,7.88,24,100,50,17.29
38,6.05,5.18,6.37,7.69,84,100,100,40.21
32,11.84,9.96,5.13,8.46,254,83.72,100,0
32,4.92,1.74,7,5.02,134,100,0,77.33
28,4.95,1.88,6.28,8.29,265,100,0,78.57
29,5.55,3.32,0.9,5.51,36,100,50,16.13
26,7.65,2.78,3.05,8.7,56,100,50,60.45
18,4.52,2.29,6.2,5.41,238,100,50,63.95
17,11.15,4.34,3.34,8.63,156,100,50,24.65
34,4.66,3.18,7.78,8.82,265,100,50,94.13
26,10.96,9.53,5.89,4.73,57,77.9,100,7.39
21,3.03,2.72,0.12,8.87,270,95.83,50,22.04
25,8.57,4.5,7.04,4.43,72,,50,47.14
15,11.07,7.3,0.81,5.09,222,68.79,100,0
20,3.69,3,1.12,6.22,68,100,50,0
29,11.68,4.33,5.88,8.97,141,100,50,65.71
29,6.53,4.66,6.92,6.44,35,100,50,70.22
33,11.46,6.25,4.29,6.75,288,89.74,100,26.28
25,8.77,3.72,2.31,7.47,255,98.63,50,23.14
37,5.02,2.72,2.81,8.84,140,100,50,52.55
16,3.88,1.34,2.74,7.92,158,100,0,60.59
28,5.04,3.61,2.61,5.12,106,100,50,20.72
16,2.93,1.32,1.94,5.51,149,100,0,34.21
18,3.44,1.67,4.87,4.49,271,99.75,0,56.07
31,3.05,1.14,7.2,7.22,294,100,0,90.37
17,6.23,5.1,2.46,4.9,66,93.1,100,19.66
27,9.96,5.94,1.49,5.29,98,91.84,100,0.86
23,3.41,2.19,6.71,8.44,238,100,50,81.58
,3.3,2.12,5.93,5.63,130,100,50,59.41
29,8.43,4.61,7.45,6.83,246,100,50,72.12
37,3.97,1.65,1.32,5.99,294,98.97,0,21.99
25,2.98,2.23,1.15,4.37,275,90.57,50,1.33
34,3.67,1.38,4.33,5.81,58,100,0,54.77
16,11.24,4.07,4.92,6.04,154,100,50,48.7
